,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
2878,_X0CLXj3c3cMX15Xz77MLQ,Nuui Cunni Native American Culture Center,culturalcenter,Cultural Center,35.658261,-118.480785,2600 Hwy 155,Lake Isabella,CA,93240
2879,rlJyHXnbhKWybpTmfwbogA,Eastern Sierra Interagency Visitor Center,visitorcenters,Visitor Centers,36.5784024850269,-118.056050089617,US Hwy 395,Lone Pine,CA,93545
2880,oQyCHB7-ps6v8WYL8VIq2A,Trona Pinnacles,landmarks,Landmarks & Historical Buildings,35.6181454057701,-117.3679605049,7 Miles Off State Rte 178,Trona,CA,93592
2881,qZJSTF7xWW-nMdRfac4EyA,Robber's Roost Ranch,landmarks,Landmarks & Historical Buildings,35.6081199645996,-117.899688720703,49901 Hwy 14,Inyokern,CA,93527
2882,QfKBmjPyqj1AkirLnPN5AA,Kern River Fish Hatchery,landmarks,Landmarks & Historical Buildings,35.769287,-118.428321,14400 Sierra Way,Kernville,CA,93238
2883,E-gZxHepOxbEzFrjixGC7A,Searles Valley Historical Society,museums,Museums,35.7597389221191,-117.376907348633,13193 Main St,Trona,CA,93562
2884,bCXexOx6BVcAzbsRqGlM-w,Wild West Show Museum,museums,Museums,36.6052284240723,-118.063499450684,119 S Main St,Lone Pine,CA,93545
2885,WPLalH1ndhMbomY8O6r9ow,Randsburg Desert Museum,localflavor,Local Flavor,35.3679852,-117.6554568,161 Butte Ave,Randsburg,CA,93554
2886,ueyRAkbeg0XWKPvcCUFSwA,De La Cour Ranch,horsebackriding,Horseback Riding,36.50457,-118.10278,5000 Horseshoe Meadows,Lone Pine,CA,93545
2887,pR857CWQllIEpDtRbEXU_Q,2016 Lone Pine Film Festival,festivals,Festivals,36.6009288862363,-118.06163071712,479 S Main,Lone Pine,CA,93545
2888,txgf-Fq6dC_45PhwdxyQvQ,International Agri-Center,museums,Museums,36.1661421,-119.3266017,4500 S Laspina St,Tulare,CA,93274
2889,5TqLclnPla4vSDS6SbzFTA,The Museum of Western Film History,museums,Museums,36.6008798,-118.0616904,701 S Main St,Lone Pine,CA,93545
2890,WYBxf3Wr857bKP3hgPUHVw,Kern Valley Museum,museums,Museums,35.755192,-118.426809,49 Big Blue Rd,Kernville,CA,93238
2891,xQOvwoA1ulKSZsLnMF2RjQ,Silver City Ghost Town & Antique Village,antiques,Antiques,35.59763,-118.49136,3829 Lake Isabella Blvd,Bodfish,CA,93205
2892,_X0CLXj3c3cMX15Xz77MLQ,Nuui Cunni Native American Culture Center,culturalcenter,Cultural Center,35.658261,-118.480785,2600 Hwy 155,Lake Isabella,CA,93240
2893,JqZkz-heaAQzIR2gDA0zkA,Three Rivers Historical Museum,museums,Museums,36.44852,-118.89985,42268 Sierra Dr,Three Rivers,CA,93271
2894,wATbGdU4ARrPpzPgGV8Jfg,C.A.L.M. - California Living Museum,museums,Museums,35.432073032757,-118.88524101217,10500 Alfred Harrell Hwy,Bakersfield,CA,93306
