zip_code,life_exp,count
91903,81.8,82
91910,80.46842105,49
91911,81.325,45
91913,80.75,51
91914,81.73333333,58
91915,82.43333333,54
91917,79.9,42
91921,82.2,82
91932,81.46666667,42
91933,75.9,82
91935,80.05,60
91941,81.075,66
91942,79.82857143,67
91943,80.1,82
91945,78.2,65
91950,79.19230769,53
91977,79.63125,62
91978,82.9,66
91979,79.9,82
92003,82.6,64
92004,78.9,5
92007,81.4,79
92008,82.74,63
92009,85.025,81
92010,83.7,0
92011,84.55,0
92014,84.2,81
92018,83.5,82
92019,79.38888889,72
92020,77.84545455,68
92021,76.98,74
92022,71.9,82
92023,82.25,82
92024,82.97777778,77
92025,81.2625,87
92026,81.1,81
92027,79.14,87
92028,80.36,75
92029,80.75,89
92033,76.3,82
92036,77.4,37
92037,84.6875,72
92038,82.3,82
92039,84.8,82
92040,79.075,78
92046,80.9,82
92049,77.6,82
92054,80.9,61
92056,81.67272727,65
92057,79.9,68
92058,80.425,82
92061,79.4,68
92064,81.5,81
92065,80.2125,82
92066,83.1,19
92068,79.8,82
92069,81.54,87
92070,79.1,57
92071,79.91818182,77
92075,82.1,80
92078,82.525,87
92081,81.175,0
92082,82,68
92083,79.46666667,75
92084,78.83333333,71
92088,82,82
92093,86.8,82
92101,76.225,65
92102,79.54285714,64
92103,80.59,65
92104,78.86363636,65
92105,78.76470588,65
92106,80.8,62
92107,80.81428571,63
92108,81.66666667,66
92109,82.6375,69
92110,82.16,66
92111,81.6,71
92112,73.4,82
92113,78.12857143,61
92114,79.30769231,61
92115,78.48333333,66
92116,80.88,66
92117,80.9,72
92118,85.76,47
92119,81.1,67
92120,80.96666667,68
92122,82.88571429,74
92123,79.04,71
92124,81.23333333,73
92126,82.49333333,76
92127,81.92,84
92128,85.22,84
92129,82.625,82
92130,83.53333333,76
92131,83.76666667,76
92132,81.4,46
92139,81.82,53
92142,80.6,82
92147,84.2,82
92149,79.5,82
92154,81.87692308,40
92159,80.5,82
92173,79.83333333,40
92175,82.5,82
92176,80.4,82
92177,81.8,82
92193,84,82
92199,80.6,66
92201,79.09166667,54
92203,80.26666667,55
92210,82.5,55
92211,84.5,56
92220,77.03333333,103
92223,79.28888889,107
92225,75.88571429,4
92227,80.4,8
92230,78.6,91
92231,82.2,4
92234,79.25,67
92236,79.22,49
92240,75.9125,72
92241,80.1,64
92242,75,3
92243,81.85555556,5
92244,76,6
92247,81,0
92248,80.3,0
92249,79.9,5
92250,78.6,4
92251,78.4,8
92252,75.3,36
92253,81.85714286,51
92254,77.8,27
92255,79.4,51
92256,75.45,66
92257,76.7,7
92260,82.41666667,56
92262,77.7125,75
92264,78.82857143,72
92267,74.6,2
92270,81.1,60
92274,80.775,27
92276,80.8,62
92277,75.62,9
92282,75.6,79
92283,70.5,8
92284,74.2,42
92285,74.96666667,11
92301,79.9,10
92307,77.24285714,18
92308,75.6,30
92311,73.96666667,9
92312,69.2,45
92313,77.6,145
92314,79.05,38
92315,78.96666667,40
92316,79.55,148
92320,77.56666667,91
92322,77.8,1
92324,79,144
92325,78.15,117
92327,75.7,9
92329,76.6,1
92334,76.2,1
92335,78.21111111,155
92336,79.2125,150
92337,78.35,170
92341,80.4,72
92344,78.6,0
92345,76.24166667,73
92346,78.375,122
92350,80.2,1
92352,79.75,82
92354,77.75,145
92357,77,1
92359,78.5,94
92363,74,10
92364,74,5
92371,77.975,68
92373,80.125,111
92374,78.3,112
92375,78,1
92376,77.94,144
92377,79.5,142
92378,80.5,1
92382,79.5,81
92386,77.9,38
92392,76.93333333,27
92393,77,1
92394,75.26666667,14
92395,74.7,0
92397,79.4,121
92399,78.0375,88
92404,73.9375,134
92405,76.275,138
92407,77.8,133
92408,76.25,141
92410,74.575,141
92411,76.125,138
92415,75.38,1
92427,75.6,37
92501,77.52,153
92503,78.15714286,201
92504,78.8,189
92505,79.8125,210
92506,80,172
92507,77.82222222,149
92508,80.6,162
92509,78.2375,187
92516,75.2,51
92519,75.2,51
92530,76.77777778,147
92531,79,51
92536,81.85,82
92539,78.6,81
92543,74.18571429,108
92544,75.775,97
92545,76.25714286,108
92549,80.4,85
92551,78.81428571,120
92553,76.8,132
92555,78.9,121
92557,79.17272727,137
92561,77.8,71
92562,81.28333333,92
92563,82.61666667,77
92567,82.65,95
92570,79.0625,133
92571,77.48571429,113
92581,77.8,51
92582,78.16,107
92583,74.075,104
92584,80.58,106
92585,75.66666667,101
92586,78.3,102
92587,81.53333333,110
92590,82.1,73
92591,82.0125,69
92592,82.61818182,70
92593,80.1,51
92595,79.34285714,94
92596,81.8,94
92603,83.76666667,172
92604,83.66,209
92605,79.6,168
92606,81.5,213
92610,81.8,220
92612,83.16,174
92614,82.18,202
92618,83.2,179
92620,84.5,236
92624,80.6,133
92625,85.275,147
92626,80.125,187
92627,78.9,166
92628,84.1,168
92629,85.01666667,129
92630,81.29,182
92637,82.8,0
92646,80.55555556,189
92647,80.7375,408
92648,81.47272727,329
92649,82.075,422
92651,82.84,132
92652,82.9,168
92653,83.16,148
92654,77.9,148
92655,82.25,461
92656,82.58333333,144
92658,87.2,168
92660,82.1875,162
92662,81.1,147
92663,81.32857143,146
92672,81.25,129
92673,82.775,138
92674,81.35,129
92675,83.85,143
92676,79.3,241
